SourceDesc=Atomik_Data_Text
Version='beta_v1.2.5'
Author='Atomik Prediction Software'

StartString_Data=Data
EndString_Data=Data_End


Data_Format=LeveldB_Phase
Data_Domain=Other
Data_LevelType=SoundPressure
Data_Phase_AngularFormat=degree
Data_AbscUnit=deg
Data_BaseUnit=Pa
Data_Legend='Curve at: 50 Hz'

Data
Angle (deg),Level (dB),Phase (deg)
6.1,101.496902,0.0
18.3,101.400101,0.0
30.5,101.216698,0.0
42.7,100.962997,0.0
54.9,100.666603,0.0
67.1,100.367104,0.0
79.3,100.112999,0.0
91.5,99.951401,0.0
103.7,99.911491,0.0
115.9,99.991570,0.0
128.1,100.159302,0.0
140.3,100.365303,0.0
152.5,100.559799,0.0
164.7,100.703499,0.0
176.9,100.771500,0.0
189.2,100.753403,0.0
201.4,100.652603,0.0
213.6,100.486702,0.0
225.8,100.287399,0.0
238.0,100.099701,0.0
250.2,99.974182,0.0
262.4,99.953133,0.0
274.6,100.054398,0.0
286.8,100.263901,0.0
299.0,100.541901,0.0
311.2,100.839897,0.0
323.4,101.113403,0.0
335.6,101.329102,0.0
347.8,101.465302,0.0
0.0,101.510201,0.0
Data_End
